Frequency (GHz),Beta_TE_1,Alpha_TE_1,Beta_TM_1,Alpha_TM_1,Beta_TE_2,Alpha_TE_2,Beta_TM_2,Alpha_TM_2,Beta_TE_3,Alpha_TE_3,Beta_TM_3,Alpha_TM_3,Beta_TE_4,Alpha_TE_4,Beta_TM_4,Alpha_TM_4,Beta_TE_5,Alpha_TE_5,Beta_TM_5,Alpha_TM_5,Beta_TE_6,Alpha_TE_6,Beta_TM_6,Alpha_TM_6
24.545454545454547,2.7812804437359517,0.0,1.0249297997974096,0.0,1.000000000000158,0.0,0.0,0.0,1.0000000000000329,0.0,0.0,0.0,1.0000000000000213,0.0,0.0,0.0,1.0000000000000133,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0
25.454545454545457,2.801190817129958,0.0,1.0298146949733293,0.0,1.0000000000000302,0.0,0.2934699441390493,0.0,1.0000000000000115,0.0,0.0,0.0,1.0000000000000062,0.0,0.0,0.0,1.0000000000000044,0.0,0.0,0.0,0.9999999999998908,0.0,0.0,0.0
26.363636363636367,2.8197075273106824,0.0,1.035228382535506,0.0,1.000000000000023,0.0,0.4155913819975878,0.0,1.0000000000000098,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0,0.999999999999873,0.0,0.0,0.0,0.38966667591125265,0.0,0.0,0.0
27.272727272727273,2.8369553751229946,0.0,1.0414025729610359,0.0,1.0000000000000382,0.0,0.5030978718740174,0.0,1.0000000000000115,0.0,0.0,0.0,0.4687981008499649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.181818181818187,2.8530458770358873,0.0,1.0486529196163958,0.0,1.0000000000000249,0.0,0.5730840092537198,0.0,0.9999999999999911,0.0,0.0,0.0,0.9999999999999671,0.0,0.0,0.0,0.5306622160889748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.090909090909093,2.868078859388766,0.0,1.057422746007158,0.0,1.0000000000000524,0.0,0.6321588973771316,0.0,1.0000000000000098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.581673892242941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.000000000000004,2.8821438466311657,0.0,1.068347631390041,0.0,1.000000000000096,0.0,0.6837093026499804,0.0,1.0000000000000107,0.0,0.0,0.0,1.0000000000000053,0.0,0.0,0.0,0.6252241127930438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.90909090909091,2.8953212708765474,0.0,1.0823446343829328,0.0,1.0000000000000293,0.0,0.7296511042550723,0.0,1.0000000000000275,0.0,0.0,0.0,1.0000000000000178,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0,0.9999999999999956,0.0,0.0,0.0
31.818181818181824,2.907683526564199,0.0,1.100714726567704,0.0,1.0000000000000808,0.0,0.7710082252005053,0.0,1.0000000000000275,0.0,0.0,0.0,1.0000000000000142,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0
32.72727272727273,2.919295890935456,0.0,1.1252014869063216,0.0,1.0000000000000497,0.0,0.8081335981526377,0.0,1.0000000000000284,0.0,0.0,0.0,1.0000000000000195,0.0,0.0,0.0,1.0000000000000142,0.0,0.0,0.0,1.0000000000000133,0.0,0.0,0.0
